"","X13_Trophic.lvl_2.2.5","X13_Trophic.lvl_2.6.3.5","X13_Trophic.lvl_3.6.4.5","X13_Trophic.lvl_4.6.5","X14_Feeding.type_grazing","X14_Feeding.type_ambusher","X14_Feeding.type_active.predator","X15_Diet_herbivore","X15_Diet_zoobenthivore","X15_Diet_detritus","X15_Diet_omnivore","X15_Diet_zooplankton","X15_Diet_piscivore","X17_Spawning.habitat_pelagic","X17_Spawning.habitat_benthic","X5_Max.length_20cm","X5_Max.length_20.50cm","X5_Max.length_50.100cm","X5_Max.length_100cm","X16_Spawning.period_spring","X16_Spawning.period_summer","X16_Spawning.period_autumn","X16_Spawning.period_winter"
"Micr pou",0,0.055,0.833333,0.111667,0.6,0,0.4,0,0.4,0,0,0.2,0.4,1,0,0.523076923,0.476923077,0,0,0.833333333,0,0,0.166666667
"Mull bar",0,1,0,0,0.987341772,0,0.012658228,0,0.835443038,0.012658228,0,0.139240506,0.012658228,1,0,0.953578337,0.046421663,0,0,0.4,0.5,0.1,0
"Mull sur",0.021,0.536167,0.426033,0.0168,0.966666667,0,0.033333333,0.033333333,0.9,0.033333333,0,0,0.033333333,1,0,0.84423676,0.15576324,0,0,0.407407407,0.37037037,0.148148148,0.074074074
"Mura hel",0,0.157,0.5145,0.3285,0.333333333,0.666666667,0,0,0.333333333,0,0,0,0.666666667,1,0,0,0.375,0.625,0,0.333333333,0.444444444,0,0.222222222
"Must mus",0,0.271333,0.728667,0,0.826086957,0,0.173913043,0,0.826086957,0,0,0,0.173913043,1,0,0.083333333,0.833333333,0.083333333,0,0.666666667,0.266666667,0,0.066666667
"Myli aqu",0.043667,0.399166,0.490834,0.066333,0.815789474,0,0.184210526,0,0.789473684,0,0,0.026315789,0.184210526,1,0,0.066666667,0.733333333,0.2,0,0,0.5,0.5,0
"Neph nor",0.157,0.822,0.021,0,0.926829268,0,0.073170732,0,0.792682927,0.012195122,0,0.12195122,0.073170732,0,1,1,0,0,0,0,0.5,0.5,0
"Octo vul",0.098714,0.401286,0.381857,0.118143,0.911111111,0,0.088888889,0,0.911111111,0,0,0,0.088888889,0,1,1,0,0,0,0.333333333,0.222222222,0.222222222,0.222222222
"Page aca",0.01575,0.57,0.41425,0,0.842105263,0,0.157894737,0,0.789473684,0,0,0.052631579,0.157894737,1,0,1,0,0,0,0.176470588,0.088235294,0.382352941,0.352941176
"Page bog",0.021,0.56475,0.40165,0.0126,0.666666667,0,0.333333333,0.047619048,0.523809524,0,0,0.095238095,0.333333333,1,0,0.733333333,0.266666667,0,0,0.352941176,0.058823529,0.235294118,0.352941176
"Page ery",0,0.6715,0.3285,0,0.943661972,0,0.056338028,0,0.887323944,0,0,0.056338028,0.056338028,1,0,0.749103943,0.248506571,0,0.002389486,0.294117647,0.264705882,0.264705882,0.176470588
"Phyc ble",0.021,0.364667,0.48,0.134333,0.823529412,0,0.176470588,0,0.735294118,0,0,0.088235294,0.176470588,1,0,0.503225806,0.490322581,0.006451613,0,0.6,0.2,0,0.2
"Phyc phy",0,0.021,0.73625,0.24275,0.607142857,0,0.392857143,0.017857143,0.571428571,0,0,0.017857143,0.392857143,1,0,0,1,0,0,0.6,0,0,0.4
"Poly ame",0.009,0.148,0.571667,0.271333,0.375,0,0.625,0,0.375,0,0,0,0.625,1,0,0,0.666666667,0,0.333333333,0,0.5,0.5,0
"Pter bov",0.0168,0.3117,0.605167,0.066333,0.666666667,0,0.333333333,0,0.666666667,0,0,0,0.333333333,0,1,0,0,0.363636364,0.636363636,0.285714286,0.571428571,0.142857143,0
"Raja ast",0.066333,0.490834,0.399166,0.043667,1,0,0,0,1,0,0,0,0,0,1,0.026315789,0.605263158,0.368421053,0,0,0.5,0.5,0
"Raja cla",0,0.089,0.911,0,0.989010989,0,0.010989011,0,0.595744681,0,0,0.042553191,0.361702128,0,1,0.054867257,0.747787611,0.197345133,0,0.375,0.375,0.125,0.125
"Raja mir",0.021,0.350375,0.488625,0.14,0.714285714,0,0.285714286,0,0.666666667,0,0,0.047619048,0.285714286,0,1,0.185840708,0.805309735,0,0.008849558,0.25,0.25,0.25,0.25
